# postcard-test-vectors-version: 1
# postcard-version: 1.1.3
# upstream-tag: postcard/v1.1.3
# upstream-commit: 718aa6a6850456017c19eeff67303c633f875736
name	flavor	schema	value	bytes	source
upstream_struct_basic	raw	struct Basic{st:u16,ei:u8,sf:u64,tt:u32}	{"st":43981,"ei":254,"sf":1311747203367034042,"tt":2896997548}	cd d7 02 fe ba b9 b7 de 9a e4 90 9a 12 ac d9 b2 e5 0a	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_basic_bim	raw	enum BasicEnum{Bib,Bim,Bap}	{"variant":"Bim"}	01	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_bim	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Bim","fields":[18446744073709551615]}	01 ff ff ff ff ff ff ff ff ff 01	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_bib	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Bib","fields":[65535]}	00 ff ff 03	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_bap	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Bap","fields":[255]}	02 ff	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_kim	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Kim","fields":[{"eight":240,"sixt":44204}]}	03 f0 ac d9 02	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_chi	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Chi","fields":{"a":15,"b":3351758791}}	04 0f c7 8f 9f be 0c	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_enum_data_sho	raw	enum DataEnum{Bib(u16),Bim(u64),Bap(u8),Kim(struct{eight:u8,sixt:u16}),Chi{a:u8,b:u32},Sho(u16,u8)}	{"variant":"Sho","fields":[26985,7]}	05 e9 d2 01 07	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_tuple_u8_u16	raw	tuple(u8,u16)	[18,51109]	12 a5 8f 03	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_newtype_u32	raw	newtype(u32)	5	05	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_tuple_struct	raw	tuple-struct(tuple(u8,u16))	[[160,4660]]	a0 b4 24	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_seq_u8	raw	seq<u8>	[1,2,3,4]	04 01 02 03 04	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_string	raw	string	"helLO!"	06 68 65 6c 4c 4f 21	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_map_u8_u8	raw	map<u8,u8>	[{"key":1,"value":5},{"key":2,"value":6},{"key":3,"value":7},{"key":4,"value":8}]	04 01 05 02 06 03 07 04 08	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_cstring_bytes	raw	bytes	[104,101,76,108,111]	05 68 65 4c 6c 6f	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/loopback.rs#L62-L156
upstream_cobs_false	cobs	bool	false	01 01 00	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/src/ser/mod.rs#L22-L48
upstream_cobs_string_1	cobs	string	"1"	03 01 31 00	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/src/ser/mod.rs#L22-L48
upstream_cobs_string_hi	cobs	string	"Hi!"	05 03 48 69 21 00	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/src/ser/mod.rs#L22-L48
upstream_cobs_bytes	cobs	bytes	[1,0,32,48]	03 04 01 03 20 30 00	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/src/ser/mod.rs#L22-L48
upstream_crc32c_bytes	crc32-iscsi	bytes	[1,0,32,48]	04 01 00 20 30 8e c8 1a 37	https://github.com/jamesmunns/postcard/blob/718aa6a6850456017c19eeff67303c633f875736/source/postcard/tests/crc.rs#L1-L19
bool_true	raw	bool	true	01	interop/rust-fixtures/src/main.rs
byte_minus_one	raw	i8	-1	ff	interop/rust-fixtures/src/main.rs
u8_255	raw	u8	255	ff	interop/rust-fixtures/src/main.rs
i16_minus_two	raw	i16	-2	03	interop/rust-fixtures/src/main.rs
i32_300	raw	i32	300	d8 04	interop/rust-fixtures/src/main.rs
i64_minus_one	raw	i64	-1	01	interop/rust-fixtures/src/main.rs
i64_min	raw	i64	-9223372036854775808	ff ff ff ff ff ff ff ff ff 01	interop/rust-fixtures/src/main.rs
char_e_acute	raw	char	"é"	02 c3 a9	interop/rust-fixtures/src/main.rs
i128_300	raw	i128	300	d8 04	interop/rust-fixtures/src/main.rs
i128_minus_one	raw	i128	-1	01	interop/rust-fixtures/src/main.rs
i128_min	raw	i128	-170141183460469231731687303715884105728	ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 03	interop/rust-fixtures/src/main.rs
u128_340282366920938463463374607431768211455	raw	u128	340282366920938463463374607431768211455	ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 03	interop/rust-fixtures/src/main.rs
float_1	raw	f32	1.0	00 00 80 3f	interop/rust-fixtures/src/main.rs
double_1_5	raw	f64	1.5	00 00 00 00 00 00 f8 3f	interop/rust-fixtures/src/main.rs
u16_65535	raw	u16	65535	ff ff 03	interop/rust-fixtures/src/main.rs
u32_4294967295	raw	u32	4294967295	ff ff ff ff 0f	interop/rust-fixtures/src/main.rs
u64_18446744073709551615	raw	u64	18446744073709551615	ff ff ff ff ff ff ff ff ff 01	interop/rust-fixtures/src/main.rs
string	raw	string	"postino"	07 70 6f 73 74 69 6e 6f	interop/rust-fixtures/src/main.rs
bytes	raw	bytes	[222,173,190,239]	04 de ad be ef	interop/rust-fixtures/src/main.rs
option_i32_none	raw	option<i32>	null	00	interop/rust-fixtures/src/main.rs
option_i32_some_300	raw	option<i32>	300	01 d8 04	interop/rust-fixtures/src/main.rs
option_option_i32_some_none	raw	option<option<i32>>	{"some":null}	01 00	interop/rust-fixtures/src/main.rs
option_option_i32_some_some_300	raw	option<option<i32>>	{"some":{"some":300}}	01 01 d8 04	interop/rust-fixtures/src/main.rs
empty_vec_i16	raw	seq<i16>	[]	00	interop/rust-fixtures/src/main.rs
list	raw	seq<i16>	[1,-1,300]	03 02 01 d8 04	interop/rust-fixtures/src/main.rs
map_i32_string	raw	map<i32,string>	[{"key":1,"value":"one"},{"key":2,"value":"two"}]	02 02 03 6f 6e 65 04 03 74 77 6f	interop/rust-fixtures/src/main.rs
fixed_array_u16_3	raw	array<u16,3>	[1,300,65535]	01 ac 02 ff ff 03	interop/rust-fixtures/src/main.rs
tuple_u8_u16_i32	raw	tuple(u8,u16,i32)	[18,300,-2]	12 ac 02 03	interop/rust-fixtures/src/main.rs
result_u16_i32_ok_300	raw	result<u16,i32>	{"ok":300}	00 ac 02	interop/rust-fixtures/src/main.rs
result_u16_i32_err_minus_two	raw	result<u16,i32>	{"err":-2}	01 03	interop/rust-fixtures/src/main.rs
sorted_set_i16	raw	set<i16>	[-2,1,300]	03 03 02 d8 04	interop/rust-fixtures/src/main.rs
sensor	raw	struct Sensor{id:u16,temp:i32,label:string}	{"id":4660,"temp":-21,"label":"lab"}	b4 24 29 03 6c 61 62	interop/rust-fixtures/src/main.rs
sensor_cobs	cobs	struct Sensor{id:u16,temp:i32,label:string}	{"id":4660,"temp":-21,"label":"lab"}	08 b4 24 29 03 6c 61 62 00	interop/rust-fixtures/src/main.rs
sensor_crc32	crc32-iso-hdlc	struct Sensor{id:u16,temp:i32,label:string}	{"id":4660,"temp":-21,"label":"lab"}	b4 24 29 03 6c 61 62 a0 79 98 95	interop/rust-fixtures/src/main.rs
envelope	raw	struct Envelope{sensor:struct Sensor{id:u16,temp:i32,label:string},readings:seq<i16>,note:option<string>,bytes:bytes}	{"sensor":{"id":7,"temp":42,"label":"rack"},"readings":[-1,0,1],"note":"ok","bytes":[1,2,3]}	07 54 04 72 61 63 6b 03 01 00 02 01 02 6f 6b 03 01 02 03	interop/rust-fixtures/src/main.rs
enum_ping	raw	enum Message{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Ping"}	00	interop/rust-fixtures/src/main.rs
enum_pong	raw	enum Message{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Pong","fields":{"id":43981}}	01 cd d7 02	interop/rust-fixtures/src/main.rs
enum_data	raw	enum Message{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Data","fields":[[9,8,7]]}	02 03 09 08 07	interop/rust-fixtures/src/main.rs
derived_enum_ping	raw	enum DerivedMessage{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Ping"}	00	interop/rust-fixtures/src/main.rs
derived_enum_pong	raw	enum DerivedMessage{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Pong","fields":{"id":43981}}	01 cd d7 02	interop/rust-fixtures/src/main.rs
derived_enum_data	raw	enum DerivedMessage{Ping,Pong{id:u16},Data(bytes)}	{"variant":"Data","fields":[[9,8,7]]}	02 03 09 08 07	interop/rust-fixtures/src/main.rs
enum_discriminant_128	raw	enum WideMessage{128:High}	{"variant":"High"}	80 01	interop/rust-fixtures/src/main.rs
